,MSE,RMSE,MAE,Median AE,R² Score,MAPE (%),Correlation,Residuals Std
LSTM-Inspired,0.13410520251616614,0.3662037718486337,0.2684726409689865,0.20612059084471968,0.3577741825269063,7.502035063433665,0.5984191267565523,0.3661620249520429
Neural Network,0.14301550388336182,0.3781739069308746,0.27220287919044495,0.2031879425048828,0.3151029348373413,7.614030838012695,0.5665548222651076,0.3781730532646179
Random Forest,0.1397284030694758,0.37380262581939655,0.2761115706451602,0.21762204639569882,0.3308448426921664,7.730355431203526,0.5754427502589684,0.373798070626524
XGBoost,0.1359429955482483,0.36870448267989403,0.26855117082595825,0.20391130447387695,0.34897297620773315,7.495968818664551,0.5909440780411166,0.36863598227500916
