Model,MSE,RMSE,MAE,R² Score
LSTM-Inspired,0.7102119948557464,0.8427407637320901,0.6178332269943005,0.3577741877738595
Neural Network,0.7574003338813782,0.8702875007038641,0.6264175772666931,0.31510305404663086
Random Forest,0.7399920899350582,0.8602279290601172,0.6354126153698255,0.33084484007343473
XGBoost,0.7199447751045227,0.8484955952181029,0.6180139183998108,0.3489730954170227
Ensemble,0.7034815126222067,0.8387380476777041,0.6148266073725983,0.36386038379760666
